venue	actor	actor_milo	clip	clip_source	channels	first_beat	first_digest	last_beat	last_digest
arena	crowd_male03	char/crowd/og/gen/crowd_male03.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-1.2099	6fc87ffc15f5f158	0.3693	1e11d857adbbda55
arena	crowd_male04	char/crowd/og/gen/crowd_male04.milo_ps2	male02_1armpump_01	char/crowd/anims/gen/male2_main.milo_ps2	19	-1.8996	ba704d45615b568b	-0.3204	a28ab35e149e1076
theatre	crowd_female01	char/crowd/og/gen/crowd_female01.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	0.0714	d4cf149dbfa82207	1.6506	c3a77f4da8aef154
theatre	crowd_female02	char/crowd/og/gen/crowd_female02.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	0.4319	feafe7e9d8ffab87	2.0110	868e370edef2b873
theatre	crowd_female03	char/crowd/og/gen/crowd_female03.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	-0.9086	42db2ef35501bb20	0.6705	15437b5bbab311b7
theatre	crowd_female04	char/crowd/og/gen/crowd_female04.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	-0.2250	1fdb458d5a469093	1.3542	9c34d408cf761610
theatre	crowd_male01	char/crowd/og/gen/crowd_male01.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-0.5855	32b3b423fa19f393	0.9937	5120b6a5691adc4a
theatre	crowd_male02	char/crowd/og/gen/crowd_male02.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-1.2099	6fc87ffc15f5f158	0.3693	1e11d857adbbda55
theatre	crowd_male03	char/crowd/og/gen/crowd_male03.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-0.6231	9a9229a373ea5042	0.9561	9569ba443703d2a5
theatre	crowd_male04	char/crowd/og/gen/crowd_male04.milo_ps2	male02_1armpump_01	char/crowd/anims/gen/male2_main.milo_ps2	19	-0.4022	366cb61807fcdec0	1.1770	616468b78bc7bbc4
fest	crowd_female02	char/crowd/og/gen/crowd_female02.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	0.0714	d4cf149dbfa82207	1.6506	c3a77f4da8aef154
fest	crowd_female03	char/crowd/og/gen/crowd_female03.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	0.4319	feafe7e9d8ffab87	2.0110	868e370edef2b873
fest	crowd_female04	char/crowd/og/gen/crowd_female04.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	-0.9086	42db2ef35501bb20	0.6705	15437b5bbab311b7
fest	crowd_male01	char/crowd/og/gen/crowd_male01.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-0.5855	32b3b423fa19f393	0.9937	5120b6a5691adc4a
fest	crowd_male02	char/crowd/og/gen/crowd_male02.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-1.2099	6fc87ffc15f5f158	0.3693	1e11d857adbbda55
fest	crowd_male03	char/crowd/og/gen/crowd_male03.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-0.6231	9a9229a373ea5042	0.9561	9569ba443703d2a5
big	crowd_female01	char/crowd/og/gen/crowd_female01.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	0.0714	d4cf149dbfa82207	1.6506	c3a77f4da8aef154
big	crowd_female02	char/crowd/og/gen/crowd_female02.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	0.4319	feafe7e9d8ffab87	2.0110	868e370edef2b873
big	crowd_female03	char/crowd/og/gen/crowd_female03.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	-0.9086	42db2ef35501bb20	0.6705	15437b5bbab311b7
big	crowd_male01	char/crowd/og/gen/crowd_male01.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-0.5855	32b3b423fa19f393	0.9937	5120b6a5691adc4a
big	crowd_male02	char/crowd/og/gen/crowd_male02.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-1.2099	6fc87ffc15f5f158	0.3693	1e11d857adbbda55
big	crowd_male03	char/crowd/og/gen/crowd_male03.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-0.6231	9a9229a373ea5042	0.9561	9569ba443703d2a5
small1	crowd_female01	char/crowd/og/gen/crowd_female01.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	0.5888	d73ae6a93ba29f09	2.1679	53f0949cf3d8558c
small1	crowd_female02	char/crowd/og/gen/crowd_female02.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	-0.2250	1fdb458d5a469093	1.3542	9c34d408cf761610
small1	crowd_female03	char/crowd/og/gen/crowd_female03.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	0.3679	1fc227c15d26c59a	1.9470	6c177b73ddb2bca8
small1	crowd_female04	char/crowd/og/gen/crowd_female04.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	-0.2189	c217feaa7d86e6f3	1.3602	c35b0a5b882fda10
small1	crowd_male01	char/crowd/og/gen/crowd_male01.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-0.5855	32b3b423fa19f393	0.9937	5120b6a5691adc4a
small1	crowd_male02	char/crowd/og/gen/crowd_male02.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-1.8996	ce34854378b0801f	-0.3204	3acc1480429c8223
small1	crowd_male03	char/crowd/og/gen/crowd_male03.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-0.5591	7ca02b5a604afa37	1.0201	04bd6afb14b09cb0
small1	crowd_male04	char/crowd/og/gen/crowd_male04.milo_ps2	male02_1armpump_01	char/crowd/anims/gen/male2_main.milo_ps2	19	-0.9195	022872699a4ac034	0.6597	bbd907156bb11392
small2	crowd_female02	char/crowd/og/gen/crowd_female02.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	0.0714	d4cf149dbfa82207	1.6506	c3a77f4da8aef154
small2	crowd_female04	char/crowd/og/gen/crowd_female04.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	0.4319	feafe7e9d8ffab87	2.0110	868e370edef2b873
small2	crowd_male01	char/crowd/og/gen/crowd_male01.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-1.8996	ce34854378b0801f	-0.3204	3acc1480429c8223
small2	crowd_male02	char/crowd/og/gen/crowd_male02.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-0.5855	32b3b423fa19f393	0.9937	5120b6a5691adc4a
small2	crowd_male03	char/crowd/og/gen/crowd_male03.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-1.2099	6fc87ffc15f5f158	0.3693	1e11d857adbbda55
stone	crowd_female05	char/crowd/og/gen/crowd_female05.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-0.9195	4b1ead3cba928c0a	0.6597	66e38f0ae5d955e9
stone	crowd_male05	char/crowd/og/gen/crowd_male05.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-0.5591	7ca02b5a604afa37	1.0201	04bd6afb14b09cb0
stone	crowd_male06	char/crowd/og/gen/crowd_male06.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-1.8996	ce34854378b0801f	-0.3204	3acc1480429c8223
