role	catalog_id	display_name	source_cost	half_cost	default_outfit	resource_milo	variant_milo
bass	gravebass	The Grave Bass	15000	7500	gravebass_resource	source_ark\char\instruments\bass\gen\gravebass_resource.milo_wii	source_ark\char\instruments\bass\gen\gravebass_resource.milo_wii
bass	macebass	The Mace Bass	12899	6449	macebass_resource	source_ark\char\instruments\bass\gen\macebass_resource.milo_wii	source_ark\char\instruments\bass\gen\macebass_resource.milo_wii
bass	neonbass	Neon Dream Bass	54000	27000	neonbass_resource	source_ark\char\instruments\bass\gen\neonbass_resource.milo_wii	source_ark\char\instruments\bass\gen\neonbass_resource.milo_wii
bass	prefishbass	Bubbles Bass	18500	9250	prefishbass_resource	source_ark\char\instruments\bass\gen\prefishbass_resource.milo_wii	source_ark\char\instruments\bass\gen\prefishbass_resource.milo_wii
bass	skeletarbass	SkeleTone* Bass	29000	14500	skeletarbass_resource	source_ark\char\instruments\bass\gen\skeletarbass_resource.milo_wii	source_ark\char\instruments\bass\gen\skeletarbass_resource.milo_wii
bass	skullbass	The Skull Bass	33000	16500	skullbass_resource	source_ark\char\instruments\bass\gen\skullbass_resource.milo_wii	source_ark\char\instruments\bass\gen\skullbass_resource.milo_wii
bass	teardropbass	The Teardrop Bass	10000	5000	teardropbass_resource	source_ark\char\instruments\bass\gen\teardropbass_resource.milo_wii	source_ark\char\instruments\bass\gen\teardropbass_resource.milo_wii
bass	thehandbass	Hand of Gargalonn Bass	44000	22000	thehandbass_resource	source_ark\char\instruments\bass\gen\thehandbass_resource.milo_wii	source_ark\char\instruments\bass\gen\thehandbass_resource.milo_wii
bass	wingsbass	The Fallen Angel Bass	22000	11000	wingsbass_resource	source_ark\char\instruments\bass\gen\wingsbass_resource.milo_wii	source_ark\char\instruments\bass\gen\wingsbass_resource.milo_wii
guitar	51squier	Squier<sup>TM</sup> '51	150	75	51squier_paint	source_ark\char\instruments\guitar\51squier\gen\51squier_resource.milo_wii	source_ark\char\instruments\guitar\gen\51squier_paint.milo_wii
guitar	5120	Gretsch<sup>TM</sup> G5120 Electromatic<sup>TM</sup> Hollow Body	1299	649	5120_paint	source_ark\char\instruments\guitar\5120\gen\5120_resource.milo_wii	source_ark\char\instruments\guitar\gen\5120_paint.milo_wii
guitar	astrojet	Gretsch<sup>TM</sup> Astro-Jet<sup>TM</sup> w/ Vibrato Tailpiece	999	499	astrojet_paint	source_ark\char\instruments\guitar\astrojet\gen\astrojet_resource.milo_wii	source_ark\char\instruments\guitar\gen\astrojet_paint.milo_wii
guitar	corvette	Gretsch<sup>TM</sup> G5135 Electromatic<sup>TM</sup> Corvette	575	287	corvette_paint	source_ark\char\instruments\guitar\corvette\gen\corvette_resource.milo_wii	source_ark\char\instruments\guitar\gen\corvette_paint.milo_wii
guitar	dinky01	Jackson<sup>TM</sup> DK1 Dinky<sup>TM</sup>	999	499	dinky01_paint	source_ark\char\instruments\guitar\dinky01\gen\dinky01_resource.milo_wii	source_ark\char\instruments\guitar\gen\dinky01_paint.milo_wii
guitar	doublejet	Gretsch<sup>TM</sup> G5248T Electromatic<sup>TM</sup> Double Jet<sup>TM</sup>	750	375	doublejet_paint	source_ark\char\instruments\guitar\doublejet\gen\doublejet_resource.milo_wii	source_ark\char\instruments\guitar\gen\doublejet_paint.milo_wii
guitar	esprit	Squier<sup>TM</sup> Esprit<sup>TM</sup>	849	424	esprit_paint	source_ark\char\instruments\guitar\esprit\gen\esprit_resource.milo_wii	source_ark\char\instruments\guitar\gen\esprit_paint.milo_wii
guitar	falcon	Gretsch<sup>TM</sup> G6136T White Falcon<sup>TM</sup>	2299	1149	falcon_paint	source_ark\char\instruments\guitar\falcon\gen\falcon_resource.milo_wii	source_ark\char\instruments\guitar\gen\falcon_paint.milo_wii
guitar	jaguar01	Fender<sup>TM</sup> American Vintage 1962 Jaguar<sup>TM</sup>	999	499	jaguar01_paint	source_ark\char\instruments\guitar\jaguar01\gen\jaguar01_resource.milo_wii	source_ark\char\instruments\guitar\gen\jaguar01_paint.milo_wii
guitar	jaguar02	Fender<sup>TM</sup> Jaguar<sup>TM</sup> Baritone Special HH	599	299	jaguar02_paint	source_ark\char\instruments\guitar\jaguar02\gen\jaguar02_resource.milo_wii	source_ark\char\instruments\guitar\gen\jaguar02_paint.milo_wii
guitar	jaguar03	Fender<sup>TM</sup> 1966 Jaguar<sup>TM</sup>	1299	649	jaguar03_paint	source_ark\char\instruments\guitar\jaguar03\gen\jaguar03_resource.milo_wii	source_ark\char\instruments\guitar\gen\jaguar03_paint.milo_wii
guitar	jetdoubleneck	Gretsch<sup>TM</sup> G5566 Electromatic<sup>TM</sup> Jet<sup>TM</sup> Double Neck	1999	999	jetdoubleneck_paint	source_ark\char\instruments\guitar\jetdoubleneck\gen\jetdoubleneck_resource.milo_wii	source_ark\char\instruments\guitar\gen\jetdoubleneck_paint.milo_wii
guitar	kelly01	Jackson<sup>TM</sup> JS30KE Kelly<sup>TM</sup>	229	114	kelly01_paint	source_ark\char\instruments\guitar\kelly01\gen\kelly01_resource.milo_wii	source_ark\char\instruments\guitar\gen\kelly01_paint.milo_wii
guitar	kelly02	Jackson<sup>TM</sup> Custom Kelly<sup>TM</sup>	549	274	kelly02_paint	source_ark\char\instruments\guitar\kelly02\gen\kelly02_resource.milo_wii	source_ark\char\instruments\guitar\gen\kelly02_paint.milo_wii
guitar	kelly03	Jackson<sup>TM</sup> Custom Kelly<sup>TM</sup> (with reverse neck)	849	424	kelly03_paint	source_ark\char\instruments\guitar\kelly03\gen\kelly03_resource.milo_wii	source_ark\char\instruments\guitar\gen\kelly03_paint.milo_wii
guitar	kingv01	Jackson<sup>TM</sup> JS30KV King V<sup>TM</sup>	199	99	kingv01_paint	source_ark\char\instruments\guitar\kingv01\gen\kingv01_resource.milo_wii	source_ark\char\instruments\guitar\gen\kingv01_paint.milo_wii
guitar	kingv02	Jackson<sup>TM</sup> KVX10 King V<sup>TM</sup>	429	214	kingv02_paint	source_ark\char\instruments\guitar\kingv02\gen\kingv02_resource.milo_wii	source_ark\char\instruments\guitar\gen\kingv02_paint.milo_wii
guitar	kingv03	Jackson<sup>TM</sup> KV2T King V<sup>TM</sup>	849	424	kingv03_paint	source_ark\char\instruments\guitar\kingv03\gen\kingv03_resource.milo_wii	source_ark\char\instruments\guitar\gen\kingv03_paint.milo_wii
guitar	kingv04	Jackson<sup>TM</sup> Custom Double Neck King V<sup>TM</sup>	999	499	kingv04_paint	source_ark\char\instruments\guitar\kingv04\gen\kingv04_resource.milo_wii	source_ark\char\instruments\guitar\gen\kingv04_paint.milo_wii
guitar	mustang02	Fender<sup>TM</sup> '65 Mustang<sup>TM</sup>	699	349	mustang02_paint	source_ark\char\instruments\guitar\mustang02\gen\mustang02_resource.milo_wii	source_ark\char\instruments\guitar\gen\mustang02_paint.milo_wii
guitar	nashdoubleneck	Gretsch<sup>TM</sup> G6120-6/12 Nashville<sup>TM</sup> Double Neck	3149	1574	nashdoubleneck_paint	source_ark\char\instruments\guitar\nashdoubleneck\gen\nashdoubleneck_resource.milo_wii	source_ark\char\instruments\guitar\gen\nashdoubleneck_paint.milo_wii
guitar	penguin	Gretsch<sup>TM</sup> G6134 White Penguin<sup>TM</sup>	2190	1095	penguin_paint	source_ark\char\instruments\guitar\penguin\gen\penguin_resource.milo_wii	source_ark\char\instruments\guitar\gen\penguin_paint.milo_wii
guitar	projet	Gretsch<sup>TM</sup> G5235T Electromatic<sup>TM</sup> Pro Jet<sup>TM</sup>	445	222	projet_paint	source_ark\char\instruments\guitar\projet\gen\projet_resource.milo_wii	source_ark\char\instruments\guitar\gen\projet_paint.milo_wii
guitar	stratocaster01	Fender<sup>TM</sup> Standard Stratocaster<sup>TM</sup>	799	399	stratocaster01_paint	source_ark\char\instruments\guitar\stratocaster01\gen\stratocaster01_resource.milo_wii	source_ark\char\instruments\guitar\gen\stratocaster01_paint.milo_wii
guitar	stratocaster02	Fender<sup>TM</sup> Big Block Stratocaster<sup>TM</sup>	499	249	stratocaster02_paint	source_ark\char\instruments\guitar\stratocaster02\gen\stratocaster02_resource.milo_wii	source_ark\char\instruments\guitar\gen\stratocaster02_paint.milo_wii
guitar	stratocaster03	Fender<sup>TM</sup> American Deluxe Stratocaster<sup>TM</sup> HSS	1299	649	stratocaster03_paint	source_ark\char\instruments\guitar\stratocaster03\gen\stratocaster03_resource.milo_wii	source_ark\char\instruments\guitar\gen\stratocaster03_paint.milo_wii
guitar	stratocaster04	Fender<sup>TM</sup> Stratocaster<sup>TM</sup> 12-String	1699	849	stratocaster04_paint	source_ark\char\instruments\guitar\stratocaster04\gen\stratocaster04_resource.milo_wii	source_ark\char\instruments\guitar\gen\stratocaster04_paint.milo_wii
guitar	stratocaster05	Fender<sup>TM</sup> Custom Double Neck Stratocaster<sup>TM</sup>	2999	1499	stratocaster05_paint	source_ark\char\instruments\guitar\stratocaster05\gen\stratocaster05_resource.milo_wii	source_ark\char\instruments\guitar\gen\stratocaster05_paint.milo_wii
guitar	supersonic	Squier<sup>TM</sup> Super-Sonic<sup>TM</sup>	478	239	supersonic_paint	source_ark\char\instruments\guitar\supersonic\gen\supersonic_resource.milo_wii	source_ark\char\instruments\guitar\gen\supersonic_paint.milo_wii
guitar	synchromatic	Gretsch<sup>TM</sup> G6040MCSS Synchromatic<sup>TM</sup> Cutaway, Filter'Tron<sup>TM</sup>	2850	1425	synchromatic_paint	source_ark\char\instruments\guitar\synchromatic\gen\synchromatic_resource.milo_wii	source_ark\char\instruments\guitar\gen\synchromatic_paint.milo_wii
guitar	tc90	Fender<sup>TM</sup> TC-90 Thinline	999	499	tc90_paint	source_ark\char\instruments\guitar\tc90\gen\tc90_resource.milo_wii	source_ark\char\instruments\guitar\gen\tc90_paint.milo_wii
guitar	telecaster01	Fender<sup>TM</sup> Classic '50s Telecaster<sup>TM</sup>	478	239	telecaster01_paint	source_ark\char\instruments\guitar\telecaster01\gen\telecaster01_resource.milo_wii	source_ark\char\instruments\guitar\gen\telecaster01_paint.milo_wii
guitar	telecaster02	Fender<sup>TM</sup> 1969 Thinline Telecaster<sup>TM</sup>	992	496	telecaster02_paint	source_ark\char\instruments\guitar\telecaster02\gen\telecaster02_resource.milo_wii	source_ark\char\instruments\guitar\gen\telecaster02_paint.milo_wii
guitar	telecaster03	Fender<sup>TM</sup> 1972 Telecaster<sup>TM</sup> Deluxe	1392	696	telecaster03_paint	source_ark\char\instruments\guitar\telecaster03\gen\telecaster03_resource.milo_wii	source_ark\char\instruments\guitar\gen\telecaster03_paint.milo_wii
guitar	telecaster04	Fender<sup>TM</sup> Custom Telecaster<sup>TM</sup> FMT HH	1578	789	telecaster04_paint	source_ark\char\instruments\guitar\telecaster04\gen\telecaster04_resource.milo_wii	source_ark\char\instruments\guitar\gen\telecaster04_paint.milo_wii
guitar	telecaster05	Fender<sup>TM</sup> J5 Triple Telecaster<sup>TM</sup> Deluxe	1599	799	telecaster05_paint	source_ark\char\instruments\guitar\telecaster05\gen\telecaster05_resource.milo_wii	source_ark\char\instruments\guitar\gen\telecaster05_paint.milo_wii
guitar	telecaster06	Fender<sup>TM</sup> 1959 Custom Telecaster<sup>TM</sup>	1649	824	telecaster06_paint	source_ark\char\instruments\guitar\telecaster06\gen\telecaster06_resource.milo_wii	source_ark\char\instruments\guitar\gen\telecaster06_paint.milo_wii
guitar	toronado	Fender<sup>TM</sup> Toronado<sup>TM</sup>	899	449	toronado_paint	source_ark\char\instruments\guitar\toronado\gen\toronado_resource.milo_wii	source_ark\char\instruments\guitar\gen\toronado_paint.milo_wii
guitar	warrior01	Jackson<sup>TM</sup> JS30WR Warrior<sup>TM</sup>	299	149	warrior01_paint	source_ark\char\instruments\guitar\warrior01\gen\warrior01_resource.milo_wii	source_ark\char\instruments\guitar\gen\warrior01_paint.milo_wii
guitar	warrior02	Jackson<sup>TM</sup> WRMG Warrior<sup>TM</sup>	689	344	warrior02_paint	source_ark\char\instruments\guitar\warrior02\gen\warrior02_resource.milo_wii	source_ark\char\instruments\guitar\gen\warrior02_paint.milo_wii
guitar	warrior03	Jackson<sup>TM</sup> WRXT Warrior<sup>TM</sup>	999	499	warrior03_paint	source_ark\char\instruments\guitar\warrior03\gen\warrior03_resource.milo_wii	source_ark\char\instruments\guitar\gen\warrior03_paint.milo_wii
guitar	axe	The Axecutioner	50000	25000	axe_resource	source_ark\char\instruments\guitar\gen\axe_resource.milo_wii	source_ark\char\instruments\guitar\gen\axe_resource.milo_wii
guitar	batwing	The Batwing	16000	8000	batwing_resource	source_ark\char\instruments\guitar\gen\batwing_resource.milo_wii	source_ark\char\instruments\guitar\gen\batwing_resource.milo_wii
guitar	bodiddley	Gretsch<sup>TM</sup> G6138 Bo Diddley	2750	1375	bodiddley_resource	source_ark\char\instruments\guitar\gen\bodiddley_resource.milo_wii	source_ark\char\instruments\guitar\gen\bodiddley_resource.milo_wii
guitar	bolt	Lightning Bolt!	11450	5725	bolt_resource	source_ark\char\instruments\guitar\gen\bolt_resource.milo_wii	source_ark\char\instruments\guitar\gen\bolt_resource.milo_wii
guitar	brain	The Brain	42200	21100	brain_resource	source_ark\char\instruments\guitar\gen\brain_resource.milo_wii	source_ark\char\instruments\guitar\gen\brain_resource.milo_wii
guitar	chainsaw	The Chainsaw	14000	7000	chainsaw_resource	source_ark\char\instruments\guitar\gen\chainsaw_resource.milo_wii	source_ark\char\instruments\guitar\gen\chainsaw_resource.milo_wii
guitar	cthulhu	Cthulhu's Revenge	47000	23500	cthulhu_resource	source_ark\char\instruments\guitar\gen\cthulhu_resource.milo_wii	source_ark\char\instruments\guitar\gen\cthulhu_resource.milo_wii
guitar	goathead	The Goat Head	66666	33333	goathead_resource	source_ark\char\instruments\guitar\gen\goathead_resource.milo_wii	source_ark\char\instruments\guitar\gen\goathead_resource.milo_wii
guitar	hbomb	The Bomb	64000	32000	hbomb_resource	source_ark\char\instruments\guitar\gen\hbomb_resource.milo_wii	source_ark\char\instruments\guitar\gen\hbomb_resource.milo_wii
guitar	jupiter	Gretsch<sup>TM</sup> G6199 \qBilly-Bo\q Jupiter Thunderbird	3725	1862	jupiter_resource	source_ark\char\instruments\guitar\gen\jupiter_resource.milo_wii	source_ark\char\instruments\guitar\gen\jupiter_resource.milo_wii
guitar	mace	The Mace	12899	6449	mace_resource	source_ark\char\instruments\guitar\gen\mace_resource.milo_wii	source_ark\char\instruments\guitar\gen\mace_resource.milo_wii
guitar	neon	Neon Dream	54000	27000	neon_resource	source_ark\char\instruments\guitar\gen\neon_resource.milo_wii	source_ark\char\instruments\guitar\gen\neon_resource.milo_wii
guitar	prefish	Bubbles	18500	9250	prefish_resource	source_ark\char\instruments\guitar\gen\prefish_resource.milo_wii	source_ark\char\instruments\guitar\gen\prefish_resource.milo_wii
guitar	skeletar	SkeleTone*	29000	14500	skeletar_resource	source_ark\char\instruments\guitar\gen\skeletar_resource.milo_wii	source_ark\char\instruments\guitar\gen\skeletar_resource.milo_wii
guitar	skull	The Skull	33000	16500	skull_resource	source_ark\char\instruments\guitar\gen\skull_resource.milo_wii	source_ark\char\instruments\guitar\gen\skull_resource.milo_wii
guitar	teardrop	The Teardrop	10000	5000	teardrop_resource	source_ark\char\instruments\guitar\gen\teardrop_resource.milo_wii	source_ark\char\instruments\guitar\gen\teardrop_resource.milo_wii
guitar	thehand	Hand of Gargalonn	44000	22000	thehand_resource	source_ark\char\instruments\guitar\gen\thehand_resource.milo_wii	source_ark\char\instruments\guitar\gen\thehand_resource.milo_wii
guitar	wings	The Fallen Angel	22000	11000	wings_resource	source_ark\char\instruments\guitar\gen\wings_resource.milo_wii	source_ark\char\instruments\guitar\gen\wings_resource.milo_wii
